Actions,WIID,Description,Type,Status,Date
,65570328,Generate Yearly Report for Vendor,WI4,Open,2020-07-01
,65570327,Generate Yearly Report for Vendor,WI4,Open,2017-12-27
,65570322,Generate Yearly Report for Vendor,WI4,Open,2017-05-28
,65570326,Generate Yearly Report for Vendor,WI4,Open,2017-11-11
,65570329,Generate Yearly Report for Vendor,WI4,Open,2021-02-20
,65570321,Generate Yearly Report for Vendor,WI4,Open,2020-08-24
,65570323,Generate Yearly Report for Vendor,WI4,Open,2020-06-12
,65570330,Generate Yearly Report for Vendor,WI4,Open,2017-01-24
,65570324,Generate Yearly Report for Vendor,WI4,Open,2017-03-15
,65570325,Generate Yearly Report for Vendor,WI4,Open,2020-11-01
